"UAI";"Type";"Corps";"Code.section";"Section";"Groupe";"Discipline";"Effectif"
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";30;"30-Milieux dilués et optique";"Physique";"Sciences";1
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";31;"31-Chimie théorique, physique, analytique";"Chimie";"Sciences";1
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";5
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";5
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";5
"0133774G";"Instituts et écoles extérieurs aux universités";"MCF";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";7
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";5;"5-Sciences économiques";"Sciences économiques et de gestion";"Droit, économie et gestion";2
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";26;"26-Mathématiques appliquées et applications des mathématiques";"Mathématiques et informatique";"Sciences";3
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";27;"27-Informatique";"Mathématiques et informatique";"Sciences";2
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";30;"30-Milieux dilués et optique";"Physique";"Sciences";1
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";32;"32-Chimie organique, minérale, industrielle";"Chimie";"Sciences";2
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";60;"60-Mécanique, génie mécanique, génie civil";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";8
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";61;"61-Génie informatique, automatique et traitement du signal";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";62;"62-Energétique, génie des procédés";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";3
"0133774G";"Instituts et écoles extérieurs aux universités";"PR";63;"63-Génie électrique, électronique, photonique et systèmes";"Mécanique, génie informatique, énergétique, génie électrique";"Sciences";2
"0134009M";"Université";"MCF";0;"0-Sans discipline";"Sans discipline";"Personnel des grands établissements";10
"0134009M";"Université";"MCF";1;"1-Droit privé et sciences criminelles";"Droit et science politique";"Droit, économie et gestion";55
"0134009M";"Université";"MCF";2;"2-Droit public";"Droit et science politique";"Droit, économie et gestion";26
"0134009M";"Université";"MCF";3;"3-Histoire du droit et des institutions";"Droit et science politique";"Droit, économie et gestion";5
"0134009M";"Université";"MCF";4;"4-Science politique";"Droit et science politique";"Droit, économie et gestion";3
